FIPS,MedianIncome2011,MedianIncome2012,MedianIncome2013,MedianIncome2014,MedianIncome2015,MedianIncome2016,MedianIncome2017,MedianIncome2018
0,"50,502","51,371","52,250","53,657","55,775","57,617","60,336","61,937"
1000,"41,427","41,610","42,882","42,917","44,833","46,309","48,193","49,881"
1001,"48,863","51,441","51,868","54,366","56,580","54,487","58,343","59,338"
1003,"50,144","48,867","47,539","49,626","52,387","56,460","56,607","57,588"
1005,"30,117","30,287","30,981","34,971","31,433","32,884","32,490","34,382"
1007,"37,347","37,392","39,781","39,546","40,767","43,079","45,795","46,064"
1009,"41,940","44,225","44,392","45,567","50,487","47,213","48,253","50,412"
1011,"26,038","25,854","25,937","26,580","28,251","34,278","29,113","29,267"
1013,"30,489","30,605","31,041","32,512","33,868","35,409","36,842","37,365"
1015,"39,060","39,212","37,898","41,123","42,091","41,778","45,937","45,400"
1017,"33,500","32,320","33,883","34,116","35,560","39,530","36,883","39,917"
1019,"34,738","37,868","37,478","38,013","39,144","41,456","44,842","42,132"
1021,"38,833","39,621","41,348","41,450","42,767","44,188","46,405","47,547"
1023,"32,940","33,390","33,581","35,049","35,089","32,691","36,711","39,907"
1025,"32,642","34,606","34,593","36,620","37,317","34,061","36,719","40,741"
1027,"32,454","34,579","33,344","35,940","38,908","38,512","39,642","39,201"
1029,"39,153","38,235","40,407","40,418","42,136","43,483","45,480","46,495"
1031,"42,173","45,631","44,666","46,931","46,858","48,632","51,998","55,122"
1033,"37,269","39,771","40,032","43,057","41,171","46,572","46,100","49,055"
1035,"26,914","27,110","27,196","29,101","29,981","29,758","30,796","32,613"
1037,"34,391","32,960","35,175","34,679","36,078","36,441","42,442","42,423"
1039,"32,138","34,017","35,187","36,149","36,355","35,010","39,093","40,203"
1041,"34,534","33,648","34,105","34,445","36,759","37,374","38,419","39,057"
1043,"39,395","37,938","40,142","39,922","39,290","41,543","45,925","45,796"
1045,"41,568","40,125","41,805","41,940","45,294","40,523","42,572","45,309"
1047,"25,859","27,400","27,524","26,602","29,682","30,488","31,329","34,035"
1049,"35,487","37,644","36,713","36,241","37,305","37,128","39,906","39,491"
1051,"54,866","52,324","51,650","54,298","53,548","54,553","59,652","60,367"
1053,"32,838","33,588","33,455","37,077","36,840","35,096","37,870","38,418"
1055,"34,927","35,737","38,587","39,904","42,145","40,972","41,791","44,903"
1057,"32,648","35,720","35,661","35,664","37,085","38,403","39,394","39,254"
1059,"33,705","33,173","33,332","33,881","38,535","37,049","41,025","39,388"
1061,"33,835","33,347","35,378","34,425","36,289","36,976","38,561","37,823"
1063,"24,738","24,592","25,864","26,504","25,398","26,559","28,108","28,524"
1065,"31,044","31,025","33,597","33,315","35,470","35,381","34,905","34,724"
1067,"39,788","37,108","41,590","39,930","42,501","41,426","48,094","46,027"
1069,"40,428","40,609","39,636","40,124","43,568","42,910","44,753","47,993"
1071,"36,746","39,618","37,204","36,923","40,201","41,407","42,658","41,929"
1073,"42,053","43,967","45,024","44,852","48,415","50,109","50,731","55,013"
1075,"34,731","33,940","36,475","34,553","36,520","38,358","39,796","40,936"
1077,"40,195","41,536","43,586","41,324","43,008","44,124","46,646","48,707"
1079,"38,132","38,524","40,713","41,574","41,771","43,107","42,912","43,909"
1081,"42,539","43,182","44,647","41,256","46,442","47,749","51,372","48,937"
1083,"46,760","49,616","50,148","51,175","55,060","52,181","57,342","64,863"
1085,"28,043","28,544","29,734","30,675","31,117","32,011","33,130","33,973"
1087,"27,591","27,709","29,228","28,518","29,522","30,681","30,849","32,495"
1089,"55,298","57,072","58,258","58,833","59,117","61,193","62,750","63,755"
1091,"31,995","31,888","33,749","32,977","35,389","34,794","37,469","37,733"
1093,"30,926","32,237","34,162","37,707","34,977","36,386","38,049","37,887"
1095,"38,876","36,960","38,399","36,536","40,599","42,117","42,751","46,233"
1097,"41,867","39,546","42,278","42,943","42,530","45,233","45,615","43,598"
1099,"31,072","36,221","32,696","34,733","35,163","36,639","36,432","39,556"
1101,"42,962","41,430","44,013","43,054","42,666","45,111","45,833","49,640"
1103,"43,615","44,766","44,079","45,082","47,234","46,843","49,274","52,797"
1105,"22,175","25,215","25,461","27,403","26,218","25,221","26,703","26,814"
1107,"31,079","31,433","32,314","31,933","33,160","35,968","38,379","37,586"
1109,"32,345","32,411","35,944","31,844","34,442","35,172","40,680","37,259"
1111,"34,517","35,024","35,121","36,939","37,333","40,283","41,112","40,546"
1113,"32,632","34,310","35,762","35,585","36,124","38,617","36,186","39,104"
1115,"48,040","50,989","52,437","50,571","53,558","57,856","52,755","57,284"
1117,"66,362","67,244","68,718","69,432","70,879","74,212","74,098","75,663"
1119,"23,531","24,059","24,504","25,413","25,931","26,814","26,495","27,859"
1121,"33,856","34,785","38,505","39,999","37,911","40,555","41,733","41,630"
1123,"37,686","36,463","37,747","36,779","39,051","40,169","44,469","42,205"
1125,"42,086","41,495","45,959","46,892","47,868","47,483","51,644","52,557"
1127,"35,423","36,600","37,193","37,245","37,305","39,511","41,925","45,434"
1129,"39,203","39,173","41,115","41,321","42,658","37,575","44,249","44,424"
1131,"20,990","22,126","23,184","24,035","23,014","24,216","25,700","25,385"
1133,"31,018","32,663","33,578","35,528","36,497","38,644","38,562","41,156"
2000,"65,699","66,503","70,058","70,898","73,391","76,144","74,058","74,912"
2013,"51,289","51,514","56,856","55,462","57,015","63,991","69,375","70,081"
2016,"59,362","69,192","74,088","68,387","80,695","78,151","80,290","82,633"
2020,"71,237","71,094","76,362","75,200","77,791","83,959","78,579","82,113"
2050,"43,314","41,722","42,876","45,808","44,849","46,634","45,582","44,304"
2060,"61,905","66,178","65,283","75,364","66,373","68,026","70,094","77,257"
2068,"68,899","66,325","68,103","69,692","73,000","72,378","73,220","75,477"
2070,"46,427","47,498","47,930","51,082","50,753","52,250","52,641","54,524"
2090,"64,396","63,979","67,204","67,801","70,881","73,427","74,241","74,268"
2100,"51,350","49,890","55,295","67,260","57,876","53,471","53,413","58,943"
2105,"40,896","40,371","42,276","51,687","53,726","53,884","50,573","51,188"
2110,"74,219","76,967","83,642","80,835","82,892","82,011","90,436","79,173"
2122,"60,360","60,431","61,629","62,532","62,025","68,501","63,559","65,439"
2130,"59,092","61,296","62,619","57,776","65,314","67,125","71,298","68,309"
2150,"66,935","61,498","64,782","67,972","67,515","74,683","71,118","74,109"
2164,"47,612","44,657","43,936","45,570","42,120","44,310","47,644","49,403"
2170,"68,999","68,109","72,371","73,981","76,601","71,793","72,296","74,649"
2180,"44,766","47,022","46,471","47,160","52,952","55,974","53,877","55,318"
2185,"73,744","69,138","74,174","75,682","70,834","74,998","82,736","89,276"
2188,"54,680","52,945","54,600","65,192","53,774","53,692","53,060","59,337"
2195,"54,434","57,728","58,176","56,655","63,098","60,540","59,176","66,075"
2198,"42,649","44,721","48,175","43,245","45,305","48,888","46,488","49,356"
2220,"61,956","61,771","66,038","65,765","68,472","72,795","69,501","71,825"
2230,"61,025","65,379","63,930","69,170","65,878","65,112","66,991","74,635"
2240,"55,617","56,456","54,922","59,641","60,203","59,412","59,382","63,527"
2261,"63,887","65,098","63,541","73,998","70,101","69,755","86,196","68,528"
2270,"33,206","32,860","31,274","30,877",,,,
2275,"43,120","47,373","49,039","52,201","54,500","56,747","55,696","57,832"
