FIPStxt,State,Area_Name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2017,CI90LBAll_2017,CI90UBALL_2017,PCTPOVALL_2017,CI90LBALLP_2017,CI90UBALLP_2017,POV017_2017,CI90LB017_2017,CI90UB017_2017,PCTPOV017_2017,CI90LB017P_2017,CI90UB017P_2017,POV517_2017,CI90LB517_2017,CI90UB517_2017,PCTPOV517_2017,CI90LB517P_2017,CI90UB517P_2017,MEDHHINC_2017,CI90LBINC_2017,CI90UBINC_2017,POV04_2017,CI90LB04_2017,CI90UB04_2017,PCTPOV04_2017,CI90LB04P_2017,CI90UB04P_2017
01000,AL,Alabama,,,,,"802,263","784,517","820,009",16.9,16.5,17.3,"262,909","253,694","272,124",24.4,23.5,25.3,"180,594","172,412","188,776",22.8,21.8,23.8,"48,193","47,451","48,935","78,986","75,009","82,963",27.7,26.3,29.1
01001,AL,Autauga County,2,2,2,2,"7,390","6,147","8,633",13.4,11.1,15.7,"2,542","2,081","3,003",19.3,15.8,22.8,"1,842","1,492","2,192",18.6,15.1,22.1,"58,343","52,121","64,565",,,,,,
01003,AL,Baldwin County,4,5,3,2,"21,199","17,444","24,954",10.1,8.3,11.9,"6,734","5,079","8,389",14.7,11.1,18.3,"4,871","3,641","6,101",14.3,10.7,17.9,"56,607","52,439","60,775",,,,,,
01005,AL,Barbour County,6,6,6,6,"7,414","6,325","8,503",33.4,28.5,38.3,"2,606","2,262","2,950",50.3,43.7,56.9,"1,904","1,660","2,148",48.8,42.6,55.0,"32,490","29,218","35,762",,,,,,
01007,AL,Bibb County,1,1,1,1,"4,137","3,187","5,087",20.2,15.5,24.9,"1,242",936,"1,548",27.3,20.6,34.0,870,641,"1,099",26.8,19.8,33.8,"45,795","40,924","50,666",,,,,,
01009,AL,Blount County,1,1,1,1,"7,343","5,805","8,881",12.8,10.1,15.5,"2,484","1,881","3,087",18.5,14.0,23.0,"1,763","1,307","2,219",17.7,13.1,22.3,"48,253","43,784","52,722",,,,,,
01011,AL,Bullock County,6,6,6,6,"2,956","2,316","3,596",34.4,27.0,41.8,"1,015",790,"1,240",48.3,37.6,59.0,732,562,902,49.0,37.6,60.4,"29,113","25,929","32,297",,,,,,
01013,AL,Butler County,6,6,6,6,"4,154","3,155","5,153",21.3,16.2,26.4,"1,471","1,085","1,857",33.0,24.3,41.7,"1,049",759,"1,339",31.8,23.0,40.6,"36,842","33,405","40,279",,,,,,
01015,AL,Calhoun County,3,2,3,2,"19,832","16,938","22,726",17.7,15.1,20.3,"5,932","4,701","7,163",24.2,19.2,29.2,"4,021","3,066","4,976",22.2,16.9,27.5,"45,937","43,419","48,455",,,,,,
01017,AL,Chambers County,6,5,6,5,"6,036","4,653","7,419",18.2,14.0,22.4,"2,071","1,529","2,613",29.6,21.8,37.4,"1,515","1,092","1,938",30.1,21.7,38.5,"36,883","33,288","40,478",,,,,,
01019,AL,Cherokee County,8,6,6,6,"4,381","3,453","5,309",17.2,13.6,20.8,"1,262",942,"1,582",25.0,18.6,31.4,896,658,"1,134",23.3,17.1,29.5,"44,842","40,581","49,103",,,,,,
01021,AL,Chilton County,1,1,1,1,"7,303","5,921","8,685",16.8,13.6,20.0,"2,339","1,738","2,940",22.6,16.8,28.4,"1,645","1,202","2,088",21.5,15.7,27.3,"46,405","41,678","51,132",,,,,,
01023,AL,Choctaw County,9,10,9,10,"3,031","2,436","3,626",23.7,19.0,28.4,896,692,"1,100",34.8,26.9,42.7,643,496,790,34.1,26.3,41.9,"36,711","32,917","40,505",,,,,,
01025,AL,Clarke County,7,11,7,11,"5,541","4,561","6,521",23.3,19.2,27.4,"1,670","1,279","2,061",31.9,24.4,39.4,"1,261",972,"1,550",32.4,25.0,39.8,"36,719","32,871","40,567",,,,,,
01027,AL,Clay County,9,10,9,10,"2,363","1,876","2,850",18.1,14.4,21.8,694,526,862,25.5,19.3,31.7,493,364,622,24.2,17.9,30.5,"39,642","35,350","43,934",,,,,,
01029,AL,Cleburne County,8,4,8,4,"2,365","1,871","2,859",16.1,12.7,19.5,754,572,936,22.4,17.0,27.8,537,401,673,21.2,15.8,26.6,"45,480","40,661","50,299",,,,,,
01031,AL,Coffee County,6,5,4,5,"7,954","6,754","9,154",15.5,13.2,17.8,"3,011","2,496","3,526",24.8,20.6,29.0,"1,946","1,546","2,346",21.8,17.3,26.3,"51,998","48,378","55,618",,,,,,
01033,AL,Colbert County,3,2,3,2,"8,324","6,720","9,928",15.4,12.4,18.4,"2,509","1,900","3,118",22.2,16.8,27.6,"1,802","1,336","2,268",21.9,16.2,27.6,"46,100","42,010","50,190",,,,,,
01035,AL,Conecuh County,9,11,7,11,"2,939","2,146","3,732",23.7,17.3,30.1,"1,108",823,"1,393",42.9,31.9,53.9,781,566,996,41.6,30.1,53.1,"30,796","27,534","34,058",,,,,,
01037,AL,Coosa County,8,7,8,3,"1,823","1,374","2,272",17.4,13.1,21.7,481,355,607,27.6,20.4,34.8,337,243,431,26.3,18.9,33.7,"42,442","38,888","45,996",,,,,,
01039,AL,Covington County,7,9,6,6,"6,447","5,153","7,741",17.7,14.2,21.2,"2,067","1,599","2,535",25.9,20.0,31.8,"1,496","1,129","1,863",25.9,19.6,32.2,"39,093","35,979","42,207",,,,,,
01041,AL,Crenshaw County,8,6,8,6,"2,722","2,091","3,353",19.9,15.3,24.5,926,691,"1,161",29.3,21.9,36.7,613,439,787,25.9,18.5,33.3,"38,419","34,662","42,176",,,,,,
01043,AL,Cullman County,6,3,4,3,"11,256","9,196","13,316",13.8,11.3,16.3,"3,407","2,564","4,250",18.7,14.1,23.3,"2,431","1,790","3,072",18.3,13.5,23.1,"45,925","41,985","49,865",,,,,,
01045,AL,Dale County,4,5,4,5,"8,528","7,097","9,959",17.7,14.7,20.7,"2,901","2,256","3,546",25.9,20.2,31.6,"1,922","1,436","2,408",24.0,17.9,30.1,"42,572","38,719","46,425",,,,,,
01047,AL,Dallas County,4,5,4,5,"10,796","8,516","13,076",27.9,22.0,33.8,"4,061","3,002","5,120",43.2,31.9,54.5,"2,775","2,001","3,549",39.4,28.4,50.4,"31,329","28,590","34,068",,,,,,
01049,AL,DeKalb County,6,6,6,6,"13,785","11,467","16,103",19.5,16.2,22.8,"4,799","3,840","5,758",27.8,22.2,33.4,"3,468","2,739","4,197",26.5,20.9,32.1,"39,906","36,346","43,466",,,,,,
01051,AL,Elmore County,2,2,2,2,"9,151","7,348","10,954",12.0,9.6,14.4,"2,979","2,250","3,708",16.5,12.5,20.5,"2,130","1,541","2,719",15.9,11.5,20.3,"59,652","55,049","64,255",,,,,,
01053,AL,Escambia County,6,6,6,6,"7,971","6,481","9,461",23.3,18.9,27.7,"2,758","2,254","3,262",33.7,27.6,39.8,"1,948","1,569","2,327",32.3,26.0,38.6,"37,870","34,989","40,751",,,,,,
01055,AL,Etowah County,3,2,3,2,"18,257","15,600","20,914",18.1,15.5,20.7,"6,399","5,373","7,425",29.3,24.6,34.0,"4,369","3,594","5,144",27.3,22.5,32.1,"41,791","38,946","44,636",,,,,,
01057,AL,Fayette County,6,6,6,6,"3,146","2,489","3,803",19.4,15.3,23.5,948,716,"1,180",27.6,20.9,34.3,654,473,835,25.8,18.7,32.9,"39,394","35,310","43,478",,,,,,
01059,AL,Franklin County,6,6,6,6,"6,394","5,242","7,546",20.5,16.8,24.2,"2,267","1,803","2,731",29.8,23.7,35.9,"1,541","1,174","1,908",27.6,21.0,34.2,"41,025","38,494","43,556",,,,,,
01061,AL,Geneva County,3,2,3,2,"5,659","4,634","6,684",21.7,17.8,25.6,"1,980","1,572","2,388",34.3,27.2,41.4,"1,472","1,170","1,774",33.9,27.0,40.8,"38,561","34,876","42,246",,,,,,
01063,AL,Greene County,3,2,8,6,"2,752","2,139","3,365",33.2,25.8,40.6,898,682,"1,114",49.4,37.5,61.3,650,488,812,47.8,35.9,59.7,"28,108","24,982","31,234",,,,,,
